Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalBathrooms,TotalSF,HouseAge,RemodAge,PricePerSF
46,120,3,61.0,7658,1,2,3,3,0,4,0,16,2,2,4,2,9,5,2005,2005,3,0,8,8,1,412.0,0,4,2,0,3,3,2,456,5,0,1296,1752,1,0,1,4,1752,0,0,1752,1,0,2,0,2,1,0,6,6,1,2,1,2005.0,1,2,576,4,4,2,196,82,0,0,0,0,3,4,4,0,2,2010,8,4,319900,3,3504,5,5,91.29566210045662
47,50,3,48.0,12822,1,2,0,3,0,1,0,11,2,2,0,0,7,5,2003,2003,1,0,12,13,3,0.0,2,4,2,0,3,3,2,1351,5,0,83,1434,1,0,1,4,1518,631,0,2149,1,0,1,1,1,1,2,6,6,1,0,1,2003.0,1,2,670,4,4,2,168,43,0,0,198,0,3,4,4,0,8,2009,8,0,239686,3,3583,6,6,66.89533910131175
48,20,1,84.0,11096,1,2,3,3,0,4,0,21,2,2,0,2,8,5,2006,2006,1,0,12,13,3,0.0,2,4,2,2,3,0,2,24,5,0,1632,1656,1,0,1,4,1656,0,0,1656,0,0,2,0,3,1,2,7,6,0,5,1,2006.0,1,3,826,4,4,2,0,146,0,0,0,0,3,4,4,0,7,2007,8,4,249700,2,3312,1,1,75.39251207729468
49,190,4,33.0,4456,1,2,3,3,0,4,0,17,2,2,1,5,4,5,1920,2008,1,0,8,8,3,0.0,3,4,0,3,3,3,5,0,5,0,736,736,1,2,1,4,736,716,0,1452,0,0,2,0,2,3,3,8,6,0,5,1,1980.0,2,0,0,4,4,0,0,0,102,0,0,0,3,4,4,0,6,2009,6,5,113000,2,2188,89,1,51.645338208409505
50,20,3,66.0,7742,1,2,3,3,0,4,0,19,2,2,0,2,5,7,1966,1966,1,0,6,6,3,0.0,3,4,1,3,3,3,1,763,5,0,192,955,1,0,1,4,955,0,0,955,1,0,1,0,3,1,3,6,6,0,5,1,1966.0,2,1,386,4,4,2,0,0,0,0,0,0,3,2,4,0,1,2007,8,4,127000,2,1910,41,41,66.49214659685863
51,60,3,69.0,13869,1,2,1,3,0,0,0,8,2,2,0,5,6,6,1997,1997,1,0,12,13,3,0.0,3,4,2,2,3,0,2,182,5,0,612,794,1,2,1,4,794,676,0,1470,0,1,2,0,3,1,3,6,6,0,5,1,1997.0,0,2,388,4,4,2,0,75,0,0,0,0,3,4,4,0,7,2007,8,4,177000,3,2264,10,10,78.18021201413427
52,50,4,52.0,6240,1,2,3,3,0,4,0,3,2,2,0,0,6,6,1934,1950,1,0,13,14,3,0.0,3,4,2,3,3,3,5,0,5,0,816,816,1,4,1,4,816,0,360,1176,0,0,1,0,3,1,3,6,6,1,2,5,1985.0,2,2,528,4,4,2,112,0,0,0,0,0,3,2,2,400,9,2006,8,4,114500,1,1992,72,56,57.47991967871486
53,90,4,110.0,8472,0,2,1,0,0,0,1,9,8,2,2,2,5,5,1963,1963,1,0,13,14,3,0.0,1,4,1,2,3,1,3,104,2,712,0,816,1,4,0,4,816,0,0,816,1,0,1,0,2,1,3,5,6,0,5,4,1963.0,2,2,516,4,4,2,106,0,0,0,0,0,3,4,4,0,5,2010,8,4,110000,2,1632,47,47,67.40196078431373
54,20,3,68.0,50271,1,2,0,2,0,4,0,24,2,2,0,2,9,5,1981,1987,1,6,14,15,3,0.0,2,4,1,0,3,1,2,1810,5,0,32,1842,1,2,1,4,1842,0,0,1842,2,0,0,1,0,1,2,5,6,1,2,1,1981.0,0,3,894,4,4,2,857,72,0,0,0,0,3,4,4,0,11,2006,8,4,385000,3,3684,25,19,104.50597176981542
55,80,3,60.0,7134,1,2,3,0,0,4,1,12,2,2,0,7,5,5,1955,1955,1,0,8,8,3,0.0,3,4,1,3,3,3,0,384,5,0,0,384,1,4,1,4,1360,0,0,1360,0,0,1,0,3,1,3,6,2,1,4,5,1962.0,2,2,572,4,4,2,0,50,0,0,0,0,3,2,4,0,2,2007,8,4,130000,1,1744,52,52,74.54128440366972
56,20,3,100.0,10175,1,2,0,3,0,4,0,12,2,2,0,2,6,5,1964,1964,1,0,6,10,1,272.0,3,4,1,3,3,3,1,490,5,0,935,1425,1,2,1,4,1425,0,0,1425,0,0,2,0,3,1,3,7,6,1,2,1,1964.0,1,2,576,4,4,2,0,0,0,407,0,0,3,4,4,0,7,2008,8,4,180500,2,2850,44,44,63.333333333333336
57,160,1,24.0,2645,1,1,3,3,0,4,0,21,2,2,3,5,8,5,1999,2000,1,0,8,8,1,456.0,2,4,2,2,3,3,2,649,5,0,321,970,1,0,1,4,983,756,0,1739,1,0,2,1,3,1,2,7,6,0,5,1,1999.0,0,2,480,4,4,2,115,0,0,0,0,0,3,4,4,0,8,2009,8,0,172500,4,2709,10,9,63.67663344407531
58,60,3,89.0,11645,1,2,0,3,0,0,0,5,2,2,0,5,7,5,2004,2004,1,0,12,13,3,0.0,2,4,2,2,3,3,5,0,5,0,860,860,1,0,1,4,860,860,0,1720,0,0,2,1,3,1,2,7,6,0,5,1,2004.0,1,2,565,4,4,2,0,70,0,0,0,0,3,4,4,0,8,2006,8,4,196500,3,2580,2,2,76.16279069767442
59,60,3,66.0,13682,1,2,1,1,0,1,0,22,2,2,0,5,10,5,2006,2006,3,0,12,13,1,1031.0,0,4,2,0,3,1,5,0,5,0,1410,1410,1,0,1,4,1426,1519,0,2945,0,0,3,1,3,1,2,10,6,1,2,3,2006.0,0,3,641,4,4,2,192,0,37,0,0,0,3,4,4,0,10,2006,6,5,438780,4,4355,0,0,100.75315729047072
60,20,3,60.0,7200,1,2,3,0,0,4,0,5,2,2,0,2,5,7,1972,1972,1,0,6,6,3,0.0,3,4,1,3,3,0,0,632,5,0,148,780,1,0,1,4,780,0,0,780,0,0,1,0,2,1,3,4,6,0,5,5,1973.0,2,1,352,4,4,2,196,0,0,0,0,0,3,2,4,0,1,2008,8,4,124900,1,1560,36,36,80.06410256410257
61,20,3,63.0,13072,1,2,3,3,0,4,0,20,5,2,0,2,6,5,2004,2004,1,0,12,13,3,0.0,3,4,2,2,3,3,0,941,5,0,217,1158,1,0,1,4,1158,0,0,1158,1,0,1,1,3,1,2,5,6,0,5,5,2006.0,2,2,576,4,4,2,0,50,0,0,0,0,3,4,4,0,5,2006,6,5,158000,3,2316,2,2,68.22107081174438
62,75,4,60.0,7200,1,2,3,3,0,4,0,9,2,2,0,4,5,7,1920,1996,1,0,8,8,3,0.0,3,4,0,3,0,3,5,0,5,0,530,530,1,4,0,4,581,530,0,1111,0,0,1,0,3,1,1,6,6,0,5,5,1935.0,2,1,288,4,4,0,0,0,144,0,0,0,3,4,4,0,3,2007,8,4,101000,1,1641,87,11,61.5478366849482
63,120,3,44.0,6442,1,2,0,3,0,4,0,16,2,2,4,2,8,5,2006,2006,1,0,12,13,2,178.0,2,4,2,2,1,2,2,24,5,0,1346,1370,1,0,1,4,1370,0,0,1370,0,0,2,0,2,1,2,6,6,1,2,1,2006.0,1,2,484,4,4,2,120,49,0,0,0,0,3,4,4,0,10,2007,8,4,202500,2,2740,1,1,73.9051094890511
64,70,4,50.0,10300,1,2,0,0,0,4,0,17,6,1,0,5,7,6,1921,1950,1,0,11,12,3,0.0,3,4,0,3,3,3,5,0,5,0,576,576,1,2,1,4,902,808,0,1710,0,0,2,0,3,1,3,9,6,0,5,5,1990.0,2,2,480,4,4,2,12,11,64,0,0,0,3,0,4,0,4,2010,8,4,140000,2,2286,89,60,61.24234470691164
65,60,3,69.0,9375,1,2,3,3,0,4,0,5,2,2,0,5,7,5,1997,1998,1,0,12,13,1,573.0,3,4,2,2,3,3,2,739,5,0,318,1057,1,0,1,4,1057,977,0,2034,1,0,2,1,3,1,2,8,6,0,5,1,1998.0,1,2,645,4,4,2,576,36,0,0,0,0,3,0,4,0,2,2009,8,4,219500,4,3091,12,11,71.01261727596247
66,60,3,76.0,9591,1,2,3,3,0,4,0,16,2,2,0,5,8,5,2004,2005,1,0,12,13,1,344.0,2,4,2,0,3,0,5,0,5,0,1143,1143,1,0,1,4,1143,1330,0,2473,0,0,2,1,4,1,2,9,6,1,2,3,2004.0,1,3,852,4,4,2,192,151,0,0,0,0,3,4,4,0,10,2007,8,4,317000,3,3616,3,2,87.66592920353982
