LotFrontage,OverallQual,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtFinSF1,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,TotalBathrooms,TotalSF,HouseAge,RemodAge,PricePerSF,SalePrice
69.0,5,1966,2006,0.0,3,1,3,0,1228,2,1228,0,1228,1,2,6,0,5,1966.0,2,1,271,0,65,2,2456,42,2,60.81026058631922,149350
85.0,8,2007,2007,0.0,2,2,0,0,1234,0,1234,0,1234,2,2,7,0,5,2007.0,1,2,484,0,30,2,2468,1,1,72.89303079416531,179900
70.0,5,1959,1959,0.0,3,1,3,1018,1398,2,1700,0,1700,1,2,6,1,2,1959.0,1,2,447,0,38,3,3098,51,51,53.42156229825694,165500
60.0,9,2005,2005,246.0,0,2,0,1153,1561,0,1561,0,1561,2,0,6,1,2,2005.0,0,2,556,203,47,3,3122,2,2,88.88532991672005,277500
108.0,8,2004,2005,132.0,2,2,0,0,1117,0,1132,1320,2452,3,2,9,1,2,2004.0,0,3,691,113,32,4,3569,2,1,86.57887363407117,309000
112.0,5,1994,1995,0.0,3,2,2,0,1097,0,1097,0,1097,1,3,6,0,5,1995.0,2,2,672,392,64,2,2194,15,14,66.08933454876937,145000
74.0,5,1954,1990,650.0,3,1,3,1213,1297,2,1297,0,1297,1,3,5,1,4,1954.0,0,2,498,0,0,2,2594,55,19,58.982266769468005,153000
68.0,5,1953,2007,0.0,3,1,3,731,1057,4,1057,0,1057,1,2,5,0,5,1953.0,2,1,246,0,52,2,2114,57,3,51.561021759697255,109000
65.0,4,1955,1955,0.0,3,2,3,0,0,4,1152,0,1152,2,1,6,0,5,1980.0,2,0,0,0,0,2,1152,53,53,71.18055555555556,82000
84.0,6,1965,1965,101.0,3,1,3,643,1088,0,1324,0,1324,2,3,6,1,4,1965.0,1,2,440,0,138,2,2412,41,41,66.33499170812604,160000
115.0,5,1959,1959,0.0,3,1,3,967,1350,2,1328,0,1328,1,3,5,2,2,1959.0,1,1,308,0,104,3,2678,48,48,63.48020911127707,170000
69.0,5,1983,1983,0.0,3,1,2,747,840,2,884,0,884,1,2,5,0,5,1983.0,1,2,504,240,0,2,1724,24,24,83.52668213457076,144000
69.0,5,1975,1980,0.0,3,1,2,280,938,4,938,0,938,1,3,5,0,5,1977.0,2,1,308,145,0,2,1876,33,28,69.42963752665246,130250
70.0,5,1959,1959,0.0,3,1,3,179,1150,0,1150,0,1150,1,3,6,0,5,1959.0,1,1,300,0,0,2,2300,47,47,61.30434782608695,141000
61.0,9,2005,2005,412.0,0,2,0,456,1752,0,1752,0,1752,2,0,6,1,2,2005.0,1,2,576,196,82,3,3504,5,5,91.29566210045662,319900
48.0,7,2003,2003,0.0,2,2,0,1351,1434,0,1518,631,2149,1,2,6,1,0,2003.0,1,2,670,168,43,3,3583,6,6,66.89533910131175,239686
84.0,8,2006,2006,0.0,2,2,2,24,1656,0,1656,0,1656,2,2,7,0,5,2006.0,1,3,826,0,146,2,3312,1,1,75.39251207729468,249700
33.0,4,1920,2008,0.0,3,0,3,0,736,2,736,716,1452,2,3,8,0,5,1980.0,2,0,0,0,0,2,2188,89,1,51.645338208409505,113000
66.0,5,1966,1966,0.0,3,1,3,763,955,0,955,0,955,1,3,6,0,5,1966.0,2,1,386,0,0,2,1910,41,41,66.49214659685863,127000
69.0,6,1997,1997,0.0,3,2,2,182,794,2,794,676,1470,2,3,6,0,5,1997.0,0,2,388,0,75,3,2264,10,10,78.18021201413427,177000
52.0,6,1934,1950,0.0,3,2,3,0,816,4,816,0,1176,1,3,6,1,2,1985.0,2,2,528,112,0,1,1992,72,56,57.47991967871486,114500
110.0,5,1963,1963,0.0,1,1,2,104,816,4,816,0,816,1,3,5,0,5,1963.0,2,2,516,106,0,2,1632,47,47,67.40196078431373,110000
68.0,9,1981,1987,0.0,2,1,0,1810,1842,2,1842,0,1842,0,2,5,1,2,1981.0,0,3,894,857,72,3,3684,25,19,104.50597176981542,385000
60.0,5,1955,1955,0.0,3,1,3,384,384,4,1360,0,1360,1,3,6,1,4,1962.0,2,2,572,0,50,1,1744,52,52,74.54128440366972,130000
100.0,6,1964,1964,272.0,3,1,3,490,1425,2,1425,0,1425,2,3,7,1,2,1964.0,1,2,576,0,0,2,2850,44,44,63.333333333333336,180500
24.0,8,1999,2000,456.0,2,2,2,649,970,0,983,756,1739,2,2,7,0,5,1999.0,0,2,480,115,0,4,2709,10,9,63.67663344407531,172500
89.0,7,2004,2004,0.0,2,2,2,0,860,0,860,860,1720,2,2,7,0,5,2004.0,1,2,565,0,70,3,2580,2,2,76.16279069767442,196500
66.0,10,2006,2006,1031.0,0,2,0,0,1410,0,1426,1519,2945,3,2,10,1,2,2006.0,0,3,641,192,0,4,4355,0,0,100.75315729047072,438780
60.0,5,1972,1972,0.0,3,1,3,632,780,0,780,0,780,1,3,4,0,5,1973.0,2,1,352,196,0,1,1560,36,36,80.06410256410257,124900
63.0,6,2004,2004,0.0,3,2,2,941,1158,0,1158,0,1158,1,2,5,0,5,2006.0,2,2,576,0,50,3,2316,2,2,68.22107081174438,158000
60.0,5,1920,1996,0.0,3,0,3,0,530,4,581,530,1111,1,1,6,0,5,1935.0,2,1,288,0,0,1,1641,87,11,61.5478366849482,101000
44.0,8,2006,2006,178.0,2,2,2,24,1370,0,1370,0,1370,2,2,6,1,2,2006.0,1,2,484,120,49,2,2740,1,1,73.9051094890511,202500
50.0,7,1921,1950,0.0,3,0,3,0,576,2,902,808,1710,2,3,9,0,5,1990.0,2,2,480,12,11,2,2286,89,60,61.24234470691164,140000
69.0,7,1997,1998,573.0,3,2,2,739,1057,0,1057,977,2034,2,2,8,0,5,1998.0,1,2,645,576,36,4,3091,12,11,71.01261727596247,219500
76.0,8,2004,2005,344.0,2,2,0,0,1143,0,1143,1330,2473,2,2,9,1,2,2004.0,1,3,852,192,151,3,3616,3,2,87.66592920353982,317000
69.0,7,1970,1989,287.0,3,1,2,912,1947,4,2207,0,2207,2,3,7,1,2,1970.0,1,2,576,301,0,3,4154,40,21,43.331728454501686,180000
72.0,7,2003,2003,167.0,2,2,2,1013,1453,0,1479,0,1479,2,2,7,0,5,2003.0,1,2,558,144,29,3,2932,4,4,77.08049113233288,226000
47.0,4,1945,1950,0.0,3,1,3,0,747,4,747,0,747,1,3,4,0,5,1945.0,2,1,220,0,0,1,1494,65,60,53.5475234270415,80000
81.0,7,1953,1953,0.0,2,1,3,603,1304,4,1304,983,2287,2,3,7,1,4,1953.0,0,2,667,0,21,2,3591,53,53,62.65664160401003,225000
95.0,7,1973,1973,1115.0,3,1,2,1880,2223,0,2223,0,2223,2,3,8,2,2,1973.0,0,2,516,300,0,3,4446,34,34,54.88079172289699,244000
69.0,4,1982,2006,0.0,3,1,3,565,845,4,845,0,845,1,3,4,0,5,1987.0,2,2,360,0,0,2,1690,25,1,76.62721893491124,129500
74.0,7,1998,1998,40.0,3,2,2,0,832,2,885,833,1718,2,3,7,1,4,1998.0,0,2,427,0,94,3,2550,11,11,72.54901960784314,185000
85.0,5,1954,2003,104.0,3,1,3,320,1086,2,1086,0,1086,1,3,6,0,5,1989.0,2,2,490,0,0,2,2172,56,7,66.71270718232044,144900
60.0,3,1915,1950,0.0,2,1,1,0,840,2,840,765,1605,2,3,8,0,5,1915.0,2,1,379,0,0,2,2445,95,60,43.92638036809816,107400
21.0,4,1973,1973,0.0,3,1,2,462,462,4,526,462,988,1,3,5,0,5,1973.0,2,1,297,120,101,2,1450,36,36,62.758620689655174,91000
69.0,4,1956,1956,0.0,3,1,3,228,952,0,952,0,952,1,3,4,0,5,1956.0,2,1,283,0,0,1,1904,52,52,71.29726890756302,135750
50.0,5,1948,2001,0.0,3,1,3,336,672,4,1072,213,1285,1,3,6,0,5,1948.0,2,1,240,0,0,2,1957,60,7,64.89524782830864,127000
72.0,4,1968,1968,0.0,3,1,3,0,1768,4,1768,0,1768,2,3,8,0,5,1980.0,2,0,0,0,0,2,3536,42,42,38.60294117647059,136500
60.0,5,1910,1981,0.0,3,2,3,0,440,2,682,548,1230,1,3,5,0,5,1966.0,2,2,440,74,0,2,1670,99,28,65.86826347305389,110000
100.0,6,1968,1968,576.0,3,1,2,448,896,4,1182,960,2142,2,2,8,1,2,1968.0,0,1,509,0,72,3,3038,41,41,63.69321922317314,193500
32.0,6,1998,1998,443.0,3,2,0,1201,1237,0,1337,0,1337,2,3,5,0,5,1998.0,0,2,405,0,199,3,2574,8,8,59.634809634809635,153500
78.0,8,2007,2007,468.0,3,2,2,33,1563,0,1563,0,1563,2,2,6,1,2,2007.0,1,3,758,144,99,2,3126,1,1,78.3749200255918,245000
80.0,5,1960,1960,66.0,3,1,3,0,1065,2,1065,0,1065,1,3,6,0,5,1974.0,2,2,461,74,0,2,2130,47,47,59.389671361502344,126500
69.0,7,1995,1996,22.0,3,2,2,0,384,2,804,670,1474,2,3,7,1,4,1995.0,0,2,400,120,72,3,1858,14,13,90.68891280947255,168500
121.0,8,1991,1992,284.0,2,1,2,0,1288,0,1301,1116,2417,2,2,9,1,4,1991.0,2,2,462,127,82,3,3705,15,14,70.17543859649123,260000
122.0,6,2005,2005,0.0,2,2,2,0,684,0,684,876,1560,2,2,6,1,2,2005.0,0,2,400,100,38,3,2244,4,4,77.54010695187166,174000
40.0,6,2009,2009,76.0,2,2,2,0,612,0,612,612,1224,2,2,4,0,5,2009.0,1,2,528,0,234,3,1836,0,0,89.59694989106754,164500
105.0,3,1915,1982,0.0,1,1,3,0,1013,4,1013,0,1526,1,1,6,0,5,1980.0,2,0,0,0,0,1,2539,94,27,33.4777471445451,85000
60.0,4,1994,1995,0.0,3,2,2,588,990,0,990,0,990,1,3,5,0,5,1980.0,2,0,0,0,0,2,1980,13,12,62.42424242424242,123600
60.0,4,1950,1950,0.0,3,3,3,0,0,4,1040,0,1040,1,3,4,0,5,1950.0,2,2,420,0,29,1,1040,56,56,105.67307692307692,109900
85.0,5,1961,1961,203.0,3,1,3,600,1235,4,1235,0,1235,1,3,6,0,5,1961.0,2,2,480,0,0,1,2470,45,45,39.91902834008097,98600
80.0,5,1921,2006,0.0,3,0,2,713,876,0,964,0,964,1,3,5,0,5,1921.0,2,2,432,0,0,2,1840,88,3,88.8586956521739,163500
60.0,6,1910,1998,0.0,3,0,3,1046,1214,0,1260,1031,2291,2,3,9,1,2,1900.0,2,2,506,0,0,3,3505,97,9,38.20256776034237,133900
69.0,6,1997,1997,0.0,3,2,2,648,824,0,905,881,1786,2,2,7,0,5,1997.0,1,2,684,0,162,4,2610,10,10,78.44827586206897,204750
69.0,6,1993,1993,68.0,0,2,2,310,680,2,680,790,1470,2,3,6,1,4,1993.0,0,2,420,232,63,3,2150,16,16,86.04651162790698,185000
78.0,7,1999,1999,183.0,2,2,2,1162,1588,0,1588,0,1588,2,2,6,0,5,1999.0,1,2,472,158,29,2,3176,7,7,67.38035264483628,214000
73.0,4,1965,1965,48.0,3,1,3,520,960,4,960,0,960,1,3,6,0,5,1965.0,0,1,432,120,0,2,1920,42,42,49.348958333333336,94750
85.0,5,1920,1950,0.0,3,0,3,108,458,1,835,0,835,1,3,5,0,5,1920.0,2,1,366,0,0,1,1293,90,60,64.19180201082753,83000
77.0,4,1959,1959,0.0,3,1,3,569,950,1,1225,0,1225,1,3,6,0,5,1980.0,2,0,0,352,0,3,2175,51,51,59.28735632183908,128950
69.0,6,1977,2001,28.0,3,2,3,1200,1610,2,1610,0,1610,2,2,6,2,4,1977.0,1,2,480,168,68,3,3220,33,9,63.66459627329193,205000
77.0,6,1985,1985,336.0,2,1,2,0,741,4,977,755,1732,2,2,7,1,4,1985.0,0,2,476,192,46,3,2473,25,25,71.97735543873837,178000
64.0,5,1979,1979,0.0,3,3,3,0,0,4,1535,0,1535,2,3,8,0,5,1979.0,2,2,410,0,0,2,1535,30,30,77.50097719869707,118964
94.0,7,2009,2009,0.0,3,2,2,0,1226,0,1226,0,1226,2,2,6,0,5,2009.0,1,3,740,0,36,2,2452,1,1,81.11745513866232,198900
69.0,7,1931,1950,600.0,3,2,3,224,1040,0,1226,592,1818,1,3,7,2,4,1951.0,2,1,240,0,0,2,2858,76,57,59.307207837648704,169500
75.0,8,2003,2004,768.0,2,2,0,0,1053,0,1053,939,1992,2,2,9,1,2,2003.0,1,2,648,140,45,3,3045,5,4,82.10180623973727,250000
60.0,4,1885,1995,0.0,3,0,1,0,641,2,1047,0,1047,1,3,6,0,5,1954.0,2,1,273,0,0,1,1688,122,12,59.241706161137444,100000
50.0,5,1948,1950,0.0,3,1,3,104,789,0,789,0,789,1,3,5,0,5,1948.0,2,1,250,0,0,1,1578,60,58,72.87705956907477,115000
85.0,5,1919,2005,0.0,3,1,3,0,793,4,997,520,1517,2,1,7,0,5,1980.0,2,0,0,0,0,2,2310,88,2,49.78354978354978,115000
105.0,6,1977,1977,480.0,3,1,2,705,1844,0,1844,0,1844,2,3,7,1,4,1977.0,1,2,546,0,122,2,3688,33,33,51.51843817787419,190000
75.0,6,1954,1972,0.0,3,1,3,444,994,2,1216,639,1855,2,3,7,0,5,1954.0,2,1,325,182,0,2,2849,52,34,48.05194805194805,136900
69.0,7,2000,2000,0.0,3,2,2,250,384,0,774,656,1430,2,3,7,1,4,2000.0,0,2,400,180,0,3,1814,10,10,99.22822491730982,180000
77.0,7,2007,2007,220.0,2,2,0,984,1264,0,1282,1414,2696,2,0,10,1,2,2007.0,0,3,792,120,184,4,3960,0,0,96.96212121212122,383970
69.0,6,1953,1953,184.0,3,1,2,35,1809,4,2259,0,2259,2,2,7,2,2,1953.0,2,2,450,166,120,3,4068,54,54,53.343166175024585,217000
61.0,6,1945,2002,0.0,3,1,3,774,1028,0,1436,884,2320,2,2,9,1,4,1945.0,2,1,180,224,0,4,3348,62,5,77.5089605734767,259500
34.0,6,1999,1999,1129.0,3,2,2,419,729,2,729,729,1458,2,3,5,1,1,1999.0,2,2,440,0,32,3,2187,8,8,80.47553726566072,176000
69.0,5,1962,1962,116.0,3,1,3,170,1092,4,1092,0,1092,1,3,6,1,3,1962.0,2,1,288,0,20,2,2184,47,47,63.64468864468864,139000
74.0,5,2006,2007,0.0,3,2,2,0,1125,2,1125,0,1125,1,3,5,0,5,2007.0,2,2,430,80,64,2,2250,1,0,68.88888888888889,155000
90.0,7,1990,1990,0.0,3,2,2,1470,1673,2,1699,1523,3222,3,2,11,2,4,1990.0,2,3,594,367,0,4,4895,20,20,65.37282941777323,320000
65.0,6,2005,2006,0.0,2,2,2,0,728,0,728,728,1456,2,2,8,1,2,2005.0,0,2,390,0,24,3,2184,1,0,75.08699633699634,163990
69.0,6,1969,1969,0.0,3,1,3,938,938,0,988,0,988,1,3,4,2,4,1969.0,2,2,540,0,130,2,1926,37,37,93.45794392523365,180000
50.0,4,1939,1950,0.0,3,2,3,0,732,2,772,351,1123,1,3,4,0,5,1979.0,2,1,264,0,0,1,1855,68,57,53.908355795148246,100000
75.0,6,1958,1958,135.0,3,1,3,570,1080,2,1080,0,1080,1,3,5,0,5,1958.0,2,1,288,0,0,1,2160,50,50,62.96296296296296,136000
55.0,6,1993,1993,0.0,2,2,2,300,1199,0,1199,0,1199,2,2,5,0,5,1993.0,1,2,530,0,63,2,2398,15,15,64.17848206839032,153900
48.0,6,1979,1998,0.0,3,1,2,0,1362,4,1586,0,1586,2,3,7,1,4,1979.0,2,2,435,192,0,2,2948,30,11,61.39755766621438,181000
60.0,6,1935,1982,0.0,3,1,3,490,520,2,520,0,754,1,3,5,0,5,1980.0,2,0,0,53,0,2,1274,71,24,66.3265306122449,84500
69.0,6,1976,1976,0.0,3,1,2,120,1078,4,958,0,958,2,3,5,1,4,1977.0,1,2,440,0,205,2,2036,31,31,62.86836935166994,128000
55.0,5,1930,1950,0.0,3,0,3,116,672,0,840,0,840,1,3,5,1,4,1980.0,2,0,0,0,0,1,1512,77,57,57.53968253968254,87000
69.0,6,1966,1966,266.0,3,1,3,512,660,4,660,688,1348,1,3,6,1,1,1966.0,1,2,453,188,108,2,2008,40,40,77.19123505976096,155000
69.0,5,1958,1991,85.0,3,1,3,567,1008,4,1053,0,1053,1,0,6,0,5,1998.0,1,2,750,0,80,3,2061,48,15,72.7802037845706,150000
88.0,7,1966,1966,309.0,3,1,3,445,924,0,1216,941,2157,2,2,8,2,2,1966.0,0,2,487,105,66,3,3081,40,40,73.35280753002272,226000
69.0,6,2000,2000,40.0,2,2,2,695,992,0,1022,1032,2054,2,2,7,1,4,2000.0,1,2,390,24,48,4,3046,9,9,80.10505581089954,244000
75.0,5,1959,2002,0.0,3,1,3,405,1063,2,1327,0,1327,1,2,7,0,5,1974.0,2,2,624,0,0,2,2390,48,5,63.07531380753138,150750
69.0,8,2001,2002,136.0,2,2,0,1005,1267,0,1296,0,1296,2,2,6,0,5,2001.0,0,2,471,192,25,3,2563,8,7,85.83690987124463,220000
78.0,5,1968,1993,0.0,3,1,3,570,1461,2,1721,0,1721,2,3,7,1,4,1968.0,1,2,440,0,96,3,3182,38,13,56.56819610307982,180000
80.0,7,1970,1970,288.0,3,2,3,0,1304,2,1682,0,1682,2,3,7,1,2,1970.0,2,2,530,98,0,2,2986,38,38,58.27193569993302,174000
69.0,5,1967,1967,196.0,3,1,3,695,1214,4,1214,0,1214,2,3,5,1,1,1967.0,1,1,318,0,111,2,2428,40,40,58.89621087314662,143000
82.0,7,1988,1989,70.0,3,1,3,0,1907,2,1959,0,1959,3,3,9,0,5,1989.0,2,3,766,0,0,3,3866,18,17,44.23176409725815,171000
73.0,8,1999,2000,320.0,2,2,2,668,1004,0,1004,848,1852,2,2,7,2,4,1999.0,0,3,660,224,106,3,2856,9,8,80.53221288515407,230000
65.0,6,1997,1997,0.0,3,2,2,821,928,0,928,836,1764,2,2,7,0,5,1997.0,1,2,470,276,99,4,2692,12,12,85.99554234769688,231500
70.0,4,1971,1971,0.0,3,1,3,432,864,4,864,0,864,1,3,5,1,3,1980.0,2,0,0,0,0,1,1728,39,39,66.55092592592592,115000
78.0,7,2005,2005,0.0,2,2,2,1300,1734,0,1734,0,1734,2,2,7,0,5,2005.0,0,2,660,160,24,3,3468,1,1,74.97116493656286,260000
71.0,5,1952,1952,0.0,3,1,3,507,910,1,910,475,1385,2,3,6,0,5,2000.0,2,2,720,0,0,2,2295,58,58,72.33115468409586,166000
78.0,7,1999,1999,183.0,2,2,2,679,1490,0,1501,0,1501,2,2,6,0,5,1999.0,1,2,577,144,29,3,2991,10,10,68.20461384152458,204000
70.0,5,1963,1963,336.0,3,1,3,1332,1728,4,1728,0,1728,2,3,10,0,5,1963.0,2,2,504,0,0,3,3456,43,43,36.16898148148148,125000
24.0,6,2004,2006,50.0,2,2,2,0,970,0,970,739,1709,2,2,7,0,5,2004.0,2,2,380,0,40,2,2679,2,0,48.52556924225457,130000
51.0,5,1931,1993,0.0,3,0,3,209,715,4,875,0,875,1,3,5,0,5,1931.0,2,1,180,48,0,2,1590,78,16,66.0377358490566,105000
69.0,7,2001,2001,180.0,2,2,2,0,884,0,884,1151,2035,2,2,8,1,2,2001.0,0,2,434,144,48,3,2919,9,9,76.2247344981158,222500
63.0,7,2004,2005,120.0,3,2,2,680,1080,0,1080,0,1080,1,2,6,0,5,1980.0,2,0,0,0,0,2,2160,4,3,65.27777777777777,141000
69.0,5,1936,1950,0.0,3,0,2,0,896,2,896,448,1344,1,3,7,0,5,1936.0,2,1,240,200,114,1,2240,70,56,51.339285714285715,115000
120.0,5,1975,1975,0.0,3,1,3,716,969,4,969,0,969,1,3,5,0,5,1975.0,2,2,440,0,0,2,1938,32,32,62.95149638802889,122000
107.0,8,2007,2008,436.0,2,2,0,1400,1710,0,1710,0,1710,2,2,6,1,2,2007.0,1,3,866,0,102,3,3420,1,0,108.88947368421053,372402
69.0,6,1971,1971,252.0,3,1,3,416,825,2,1097,896,1993,2,3,8,1,2,1971.0,1,2,495,0,66,3,2818,35,35,67.4237047551455,190000
69.0,6,1960,1975,0.0,3,1,2,429,1602,2,1252,0,1252,1,3,4,1,2,1960.0,1,2,564,409,0,2,2854,48,33,82.34057463209531,235000
84.0,6,1923,1950,0.0,3,0,3,0,1200,4,1200,0,1200,1,3,7,0,5,1923.0,2,1,312,0,0,1,2400,83,56,52.083333333333336,125000
60.0,6,1924,1950,0.0,3,0,3,0,572,1,572,524,1096,1,3,5,0,5,1980.0,2,0,0,0,8,1,1668,84,58,47.3621103117506,79000
60.0,5,1950,1950,0.0,3,1,3,0,0,4,1040,0,1040,1,3,5,0,5,1950.0,2,2,625,0,0,1,1040,56,56,105.28846153846153,109500
92.0,8,2009,2010,84.0,2,2,0,0,774,0,774,1194,1968,2,0,8,1,2,2009.0,0,3,680,0,75,3,2742,1,0,98.28592268417214,269500
100.0,7,2004,2005,0.0,2,2,2,222,991,0,991,956,1947,2,2,8,1,2,2004.0,1,2,678,0,136,3,2938,6,5,86.75970047651464,254900
134.0,7,2005,2006,456.0,2,2,2,57,1392,0,1392,1070,2462,2,2,9,1,2,2006.0,1,2,576,239,132,4,3854,1,0,83.03061754021796,320000
69.0,6,1984,1984,0.0,3,2,2,660,1232,4,1232,0,1232,2,3,6,0,5,1984.0,2,2,516,0,0,2,2464,24,24,65.94967532467533,162500
110.0,9,2003,2004,664.0,2,2,0,1016,1572,0,1572,1096,2668,2,0,10,2,2,2003.0,0,3,726,400,0,4,4240,5,4,97.2877358490566,412500
95.0,7,2005,2005,226.0,2,2,2,1201,1541,0,1541,0,1541,2,2,7,1,2,2005.0,1,2,532,0,70,2,3082,5,5,71.38221933809214,220000
55.0,4,1956,1956,0.0,3,1,3,0,882,0,882,0,882,1,3,4,0,5,1980.0,2,0,0,0,0,1,1764,51,51,58.50340136054422,103200
40.0,6,1926,2004,0.0,3,0,3,370,1149,2,1149,467,1616,2,2,5,0,5,1926.0,2,1,216,0,0,2,2765,81,3,54.97287522603978,152000
62.0,5,1940,1999,0.0,3,0,3,351,644,2,808,547,1355,2,3,6,0,5,1980.0,2,0,0,140,0,3,1999,68,9,63.78189094547274,127500
